ECR,Player,Tipoff (ET),Opponent,Today,Yesterday,Difference,Name,Team,Pos,Key,Price,run_ts
127,Thomas Bryant (LAL - C),7:30PM,@BKN,"$5,800",-,-,Thomas Bryant,LAL,C,Thomas Bryant-LAL,5800,2023-01-30 15:57:09.660005
26,Dejounte Murray (ATL - SG/PG),10:00PM,@POR,"$8,300",-,-,Dejounte Murray,ATL,SG/PG,Dejounte Murray-ATL,8300,2023-01-30 15:57:09.660005
44,OG Anunoby (TOR - SF/SG),9:00PM,@PHO,"$6,600",-,-,OG Anunoby,TOR,SF/SG,OG Anunoby-TOR,6600,2023-01-30 15:57:09.660005
137,Chris Boucher (TOR - C/PF),9:00PM,@PHO,"$5,400",-,-,Chris Boucher,TOR,C/PF,Chris Boucher-TOR,5400,2023-01-30 15:57:09.660005
-,Juancho Hernangomez (TOR - SF/PF),9:00PM,@PHO,"$4,000",-,-,Juancho Hernangomez,TOR,SF/PF,Juancho Hernangomez-TOR,4000,2023-01-30 15:57:09.660005
-,Furkan Korkmaz (PHI - SG/SF),7:00PM,ORL,"$3,600",-,-,Furkan Korkmaz,PHI,SG/SF,Furkan Korkmaz-PHI,3600,2023-01-30 15:57:09.660005
146,Markelle Fultz (ORL - PG/SG),7:00PM,@PHI,"$6,700",-,-,Markelle Fultz,ORL,PG/SG,Markelle Fultz-ORL,6700,2023-01-30 15:57:09.660005
31,De'Aaron Fox (SAC - PG),8:00PM,@MIN,"$8,500",-,-,De'Aaron Fox,SAC,PG,De'Aaron Fox-SAC,8500,2023-01-30 15:57:09.660005
243,Jonathan Isaac (ORL - SF/PF),7:00PM,@PHI,"$4,400",-,-,Jonathan Isaac,ORL,SF/PF,Jonathan Isaac-ORL,4400,2023-01-30 15:57:09.660005
-,Frank Ntilikina (DAL - PG),8:30PM,DET,"$3,500",-,-,Frank Ntilikina,DAL,PG,Frank Ntilikina-DAL,3500,2023-01-30 15:57:09.660005
147,Zach Collins (SAS - PF/C),8:00PM,WAS,"$5,400",-,-,Zach Collins,SAS,PF/C,Zach Collins-SAS,5400,2023-01-30 15:57:09.660005
155,Malik Monk (SAC - SG),8:00PM,@MIN,"$4,800",-,-,Malik Monk,SAC,SG,Malik Monk-SAC,4800,2023-01-30 15:57:09.660005
254,Maxi Kleber (DAL - PF/C),8:30PM,DET,"$4,500",-,-,Maxi Kleber,DAL,PF/C,Maxi Kleber-DAL,4500,2023-01-30 15:57:09.660005
-,Troy Brown Jr. (LAL - SF),7:30PM,@BKN,"$4,100",-,-,Troy Brown,LAL,SF,Troy Brown-LAL,4100,2023-01-30 15:57:09.660005
